"Date","Price","Open","High","Low","Change %"
"04/25/2024","6.160","6.160","6.160","6.160","0.49%"
"04/24/2024","6.130","6.130","6.130","6.130","0.16%"
"04/23/2024","6.120","6.120","6.120","6.120","-0.97%"
"04/22/2024","6.180","6.180","6.180","6.180","-0.48%"
"04/19/2024","6.210","6.210","6.210","6.210","-0.96%"
"04/18/2024","6.270","6.270","6.270","6.270","0.48%"
"04/17/2024","6.240","6.240","6.240","6.240","1.79%"
"04/15/2024","6.130","6.130","6.130","6.130","1.16%"
"04/12/2024","6.060","6.060","6.060","6.060","-0.49%"
"04/11/2024","6.090","6.090","6.090","6.090","0.83%"
"04/10/2024","6.040","6.040","6.040","6.040","0.83%"
"04/09/2024","5.990","5.990","5.990","5.990","0.00%"
"04/08/2024","5.990","5.990","5.990","5.990","0.84%"
"04/05/2024","5.940","5.940","5.940","5.940","0.34%"
"04/04/2024","5.920","5.920","5.920","5.920","0.17%"
"04/03/2024","5.910","5.910","5.910","5.910","0.17%"
"04/02/2024","5.900","5.900","5.900","5.900","0.68%"
"04/01/2024","5.860","5.860","5.860","5.860","0.34%"
"03/28/2024","5.840","5.840","5.840","5.840","0.00%"
"03/27/2024","5.840","5.840","5.840","5.840","-0.17%"
"03/26/2024","5.850","5.850","5.850","5.850","0.17%"
"03/25/2024","5.840","5.840","5.840","5.840","0.52%"
"03/22/2024","5.810","5.810","5.810","5.810","-0.17%"
"03/21/2024","5.820","5.820","5.820","5.820","-0.34%"
"03/20/2024","5.840","5.840","5.840","5.840","0.52%"
"03/19/2024","5.810","5.810","5.810","5.810","0.17%"
"03/18/2024","5.800","5.800","5.800","5.800","0.69%"
"03/15/2024","5.760","5.760","5.760","5.760","0.70%"
"03/13/2024","5.720","5.720","5.720","5.720","0.18%"
"03/12/2024","5.710","5.710","5.710","5.710","1.42%"
"03/08/2024","5.630","5.630","5.630","5.630","0.72%"
"03/07/2024","5.590","5.590","5.590","5.590","-0.71%"
"03/06/2024","5.630","5.630","5.630","5.630","-0.53%"
"03/05/2024","5.660","5.660","5.660","5.660","-0.18%"
"03/04/2024","5.670","5.670","5.670","5.670","0.00%"
