Release Date,Report Month,Time,Actual%,Forecast%,Previous%
01/02/2011,Jan,04:00,0.91,,0.65
01/01/2011,Dec,04:00,0.65,,0.19
01/12/2010,Nov,04:00,0.19,,-0.09
01/11/2010,Oct,04:00,-0.09,,-0.14
01/10/2010,Sep,04:00,-0.14,,0.11
01/09/2010,Aug,04:00,0.11,,-0.04
01/08/2010,Jul,04:00,-0.04,,0.11
01/07/2010,Jun,04:00,0.11,,0.1
01/06/2010,May,04:00,0.1,,0.46
01/05/2010,Apr,04:00,0.46,,0.25
01/04/2010,Mar,04:00,0.25,,0.83
01/03/2010,Feb,04:00,0.83,,0.69
01/02/2010,Jan,04:00,0.69,,0.08
01/01/2010,Dec,04:00,0.08,,-0.07
01/12/2009,Nov,04:00,-0.07,,-0.13
01/11/2009,Oct,04:00,-0.13,,-0.11
01/10/2009,Sep,04:00,-0.11,,0.04
01/09/2009,Aug,04:00,0.04,,-0.04
01/08/2009,Jul,04:00,-0.04,,-0.06
01/07/2009,Jun,04:00,-0.06,,0.01
01/06/2009,May,04:00,0.01,,0.32
01/05/2009,Apr,04:00,0.32,,0.5
01/04/2009,Mar,04:00,0.5,,0.84
01/03/2009,Feb,04:00,0.84,,0.59
01/02/2009,Jan,04:00,0.59,,0.44
01/01/2009,Dec,04:00,0.44,,0.28
01/12/2008,Nov,04:00,0.28,,0.35
01/11/2008,Oct,04:00,0.35,,-0.19
01/10/2008,Sep,04:00,-0.19,,0.19
01/09/2008,Aug,04:00,0.19,,0.48
01/08/2008,Jul,04:00,0.48,,0.86
01/07/2008,Jun,04:00,0.86,,0.93
01/06/2008,May,04:00,0.93,,0.71
01/05/2008,Apr,04:00,0.71,,0.81
01/04/2008,Mar,04:00,0.81,,1.51
01/03/2008,Feb,04:00,1.51,,1.06
01/02/2008,Jan,04:00,1.06,,0.49
01/01/2008,Dec,04:00,0.49,,0.47
01/12/2007,Nov,04:00,0.47,,0.01
01/11/2007,Oct,04:00,0.01,,0.08
01/10/2007,Sep,04:00,0.08,,-0.13
01/09/2007,Aug,04:00,-0.13,,0.16
01/08/2007,Jul,04:00,0.16,,0.12
01/07/2007,Jun,04:00,0.12,,0.3
01/06/2007,May,04:00,0.3,,0.9
01/05/2007,Apr,04:00,0.9,,1.21
01/04/2007,Mar,04:00,1.21,,1.17
01/03/2007,Feb,04:00,1.17,,0.77
01/02/2007,Jan,04:00,0.77,,0.23
01/01/2007,Dec,04:00,0.23,,0.24
01/12/2006,Nov,04:00,0.24,,-0.14
01/11/2006,Oct,04:00,-0.14,,0.29
01/10/2006,Sep,04:00,0.29,,0.39
01/09/2006,Aug,04:00,0.39,,0.41
01/08/2006,Jul,04:00,0.41,,0.3
01/07/2006,Jun,04:00,0.3,,0.33
01/06/2006,May,04:00,0.33,,0.45
01/05/2006,Apr,04:00,0.45,,0.7
01/04/2006,Mar,04:00,0.7,,0.66
01/03/2006,Feb,04:00,0.66,,0.54
01/02/2006,Jan,04:00,0.54,,0.07
01/01/2006,Dec,04:00,0.07,,0.11
01/12/2005,Nov,04:00,0.11,,0.23
01/11/2005,Oct,04:00,0.23,,0.43
01/10/2005,Sep,04:00,0.43,,0.0
01/09/2005,Aug,04:00,0.0,,0.05
01/08/2005,Jul,04:00,0.05,,0.4
01/07/2005,Jun,04:00,0.4,,0.41
01/06/2005,May,04:00,0.41,,0.44
01/05/2005,Apr,04:00,0.44,,0.77
01/04/2005,Mar,04:00,0.77,,1.02
01/03/2005,Feb,04:00,1.02,,0.82
01/02/2005,Jan,04:00,0.82,,0.3
01/01/2005,Dec,04:00,0.3,,0.28
01/12/2004,Nov,04:00,0.28,,-0.01
01/11/2004,Oct,04:00,-0.01,,0.3
01/10/2004,Sep,04:00,0.3,,0.03
01/09/2004,Aug,04:00,0.03,,-0.03
01/08/2004,Jul,04:00,-0.03,,0.6
01/07/2004,Jun,04:00,0.6,,0.38
01/06/2004,May,04:00,0.38,,0.46
01/05/2004,Apr,04:00,0.46,,0.98
01/04/2004,Mar,04:00,0.98,,1.2
01/03/2004,Feb,04:00,1.2,,0.89
01/02/2004,Jan,04:00,0.89,,0.61
01/01/2004,Dec,04:00,0.61,,0.35
01/12/2003,Nov,04:00,0.35,,0.06
01/11/2003,Oct,04:00,0.06,,0.22
01/10/2003,Sep,04:00,0.22,,0.31
01/09/2003,Aug,04:00,0.31,,-0.14
01/08/2003,Jul,04:00,-0.14,,-0.05
01/07/2003,Jun,04:00,-0.05,,0.49
01/06/2003,May,04:00,0.49,,1.15
01/05/2003,Apr,04:00,1.15,,1.05
01/04/2003,Mar,04:00,1.05,,1.11
01/03/2003,Feb,04:00,1.11,,1.17
01/02/2003,Jan,04:00,1.17,,0.27
01/01/2003,Dec,04:00,0.27,,0.78
01/12/2002,Nov,04:00,0.78,,0.56
01/11/2002,Oct,04:00,0.56,,0.36
01/10/2002,Sep,04:00,0.36,,0.09
01/09/2002,Aug,04:00,0.09,,0.02
01/08/2002,Jul,04:00,0.02,,0.43
01/07/2002,Jun,04:00,0.43,,0.6
01/06/2002,May,04:00,0.6,,0.92
01/05/2002,Apr,04:00,0.92,,0.71
01/04/2002,Mar,04:00,0.71,,1.26
01/03/2002,Feb,04:00,1.26,,0.8
01/02/2002,Jan,04:00,0.8,,0.34
01/01/2002,Dec,04:00,0.34,,0.12
01/12/2001,Nov,04:00,0.12,,0.19
01/11/2001,Oct,04:00,0.19,,0.37
01/10/2001,Sep,04:00,0.37,,0.26
01/09/2001,Aug,04:00,0.26,,0.11
01/08/2001,Jul,04:00,0.11,,0.04
01/07/2001,Jun,04:00,0.04,,0.42
01/06/2001,May,04:00,0.42,,1.15
01/05/2001,Apr,04:00,1.15,,1.48
01/04/2001,Mar,04:00,1.48,,1.89
01/03/2001,Feb,04:00,1.89,,1.05
01/02/2001,Jan,04:00,1.05,,0.46
01/01/2001,Dec,04:00,0.46,,0.33
01/12/2000,Nov,04:00,0.33,,0.15
01/11/2000,Oct,04:00,0.15,,0.43
01/10/2000,Sep,04:00,0.43,,0.32
01/09/2000,Aug,04:00,0.32,,-0.04
01/08/2000,Jul,04:00,-0.04,,-0.02
01/07/2000,Jun,04:00,-0.02,,0.52
01/06/2000,May,04:00,0.52,,1.0
01/05/2000,Apr,04:00,1.0,,1.71
01/04/2000,Mar,04:00,1.71,,2.3
01/03/2000,Feb,04:00,2.3,,1.29
01/02/2000,Jan,04:00,1.29,,0.53
01/01/2000,Dec,04:00,0.53,,0.48
01/12/1999,Nov,04:00,0.48,,0.35
01/11/1999,Oct,04:00,0.35,,0.33
01/10/1999,Sep,04:00,0.33,,0.5
01/09/1999,Aug,04:00,0.5,,0.31
01/08/1999,Jul,04:00,0.31,,0.28
01/07/1999,Jun,04:00,0.28,,0.48
01/06/1999,May,04:00,0.48,,0.78
01/05/1999,Apr,04:00,0.78,,0.94
01/04/1999,Mar,04:00,0.94,,1.7
01/03/1999,Feb,04:00,1.7,,2.21
01/02/1999,Jan,04:00,2.21,,0.91
01/01/1999,Dec,04:00,0.91,,0.17
01/12/1998,Nov,04:00,0.17,,0.35
01/11/1998,Oct,04:00,0.35,,0.29
01/10/1998,Sep,04:00,0.29,,0.03
01/09/1998,Aug,04:00,0.03,,0.47
01/08/1998,Jul,04:00,0.47,,1.22
01/07/1998,Jun,04:00,1.22,,1.56
01/06/1998,May,04:00,1.56,,2.9
01/05/1998,Apr,04:00,2.9,,2.6
01/04/1998,Mar,04:00,2.6,,3.28
01/03/1998,Feb,04:00,3.28,,1.79
01/02/1998,Jan,04:00,1.79,,0.61
01/01/1998,Dec,04:00,0.61,,0.81
01/12/1997,Nov,04:00,0.81,,0.96
01/11/1997,Oct,04:00,0.96,,1.26
01/10/1997,Sep,04:00,1.26,,1.14
01/09/1997,Aug,04:00,1.14,,0.83
01/08/1997,Jul,04:00,0.83,,1.2
01/07/1997,Jun,04:00,1.2,,1.62
01/06/1997,May,04:00,1.62,,1.62
01/05/1997,Apr,04:00,1.62,,1.55
01/04/1997,Mar,04:00,1.55,,3.11
01/03/1997,Feb,04:00,3.11,,1.65
01/02/1997,Jan,04:00,1.65,,0.72
01/01/1997,Dec,04:00,0.72,,0.8
01/12/1996,Nov,04:00,0.8,,1.15
01/11/1996,Oct,04:00,1.15,,1.19
01/10/1996,Sep,04:00,1.19,,1.1
01/09/1996,Aug,04:00,1.1,,1.51
01/08/1996,Jul,04:00,1.51,,1.14
01/07/1996,Jun,04:00,1.14,,1.55
01/06/1996,May,04:00,1.55,,1.97
01/05/1996,Apr,04:00,1.97,,2.1
01/04/1996,Mar,04:00,2.1,,4.01
01/03/1996,Feb,04:00,4.01,,2.51
01/02/1996,Jan,04:00,2.51,,0.92
01/01/1996,Dec,04:00,0.92,,0.79
01/12/1995,Nov,04:00,0.79,,0.88
01/11/1995,Oct,04:00,0.88,,0.84
01/10/1995,Sep,04:00,0.84,,0.63
01/09/1995,Aug,04:00,0.63,,0.77
01/08/1995,Jul,04:00,0.77,,1.2
01/07/1995,Jun,04:00,1.2,,1.65
01/06/1995,May,04:00,1.65,,2.23
01/05/1995,Apr,04:00,2.23,,2.61
01/04/1995,Mar,04:00,2.61,,3.52
01/03/1995,Feb,04:00,3.52,,1.84
01/02/1995,Jan,04:00,1.84,,1.49
01/01/1995,Dec,04:00,1.49,,1.11
01/12/1994,Nov,04:00,1.11,,1.11
01/11/1994,Oct,04:00,1.11,,1.09
01/10/1994,Sep,04:00,1.09,,0.97
01/09/1994,Aug,04:00,0.97,,0.91
01/08/1994,Jul,04:00,0.91,,0.9
01/07/1994,Jun,04:00,0.9,,1.54
01/06/1994,May,04:00,1.54,,2.37
01/05/1994,Apr,04:00,2.37,,2.21
01/04/1994,Mar,04:00,2.21,,3.68
01/03/1994,Feb,04:00,3.68,,3.15
01/02/1994,Jan,04:00,3.15,,1.13
01/01/1994,Dec,04:00,1.13,,1.29
01/12/1993,Nov,04:00,1.29,,1.06
01/11/1993,Oct,04:00,1.06,,1.12
01/10/1993,Sep,04:00,1.12,,1.25
01/09/1993,Aug,04:00,1.25,,1.23
01/08/1993,Jul,04:00,1.23,,1.54
01/07/1993,Jun,04:00,1.54,,1.6
01/06/1993,May,04:00,1.6,,1.94
01/05/1993,Apr,04:00,1.94,,1.87
01/04/1993,Mar,04:00,1.87,,3.25
01/03/1993,Feb,04:00,3.25,,3.24
01/02/1993,Jan,04:00,3.24,,0.94
01/01/1993,Dec,04:00,0.94,,0.72
01/12/1992,Nov,04:00,0.72,,0.85
01/11/1992,Oct,04:00,0.85,,0.83
01/10/1992,Sep,04:00,0.83,,0.75
01/09/1992,Aug,04:00,0.75,,1.99
01/08/1992,Jul,04:00,1.99,,2.24
01/07/1992,Jun,04:00,2.24,,2.32
01/06/1992,May,04:00,2.32,,2.85
01/05/1992,Apr,04:00,2.85,,2.31
01/04/1992,Mar,04:00,2.31,,3.34
01/03/1992,Feb,04:00,3.34,,3.49
01/02/1992,Jan,04:00,3.49,,1.4
01/01/1992,Dec,04:00,1.4,,1.22
01/12/1991,Nov,04:00,1.22,,1.32
01/11/1991,Oct,04:00,1.32,,1.45
01/10/1991,Sep,04:00,1.45,,1.27
01/09/1991,Aug,04:00,1.27,,1.81
01/08/1991,Jul,04:00,1.81,,1.58
01/07/1991,Jun,04:00,1.58,,2.2
01/06/1991,May,04:00,2.2,,2.8
01/05/1991,Apr,04:00,2.8,,2.52
01/04/1991,Mar,04:00,2.52,,3.41
01/03/1991,Feb,04:00,3.41,,3.0
01/02/1991,Jan,04:00,3.0,,2.52
01/01/1991,Dec,04:00,2.52,,2.03
01/12/1990,Nov,04:00,2.03,,1.92
01/11/1990,Oct,04:00,1.92,,2.37
01/10/1990,Sep,04:00,2.37,,1.58
01/09/1990,Aug,04:00,1.58,,1.35
01/08/1990,Jul,04:00,1.35,,1.95
01/07/1990,Jun,04:00,1.95,,1.95
01/06/1990,May,04:00,1.95,,2.81
01/05/1990,Apr,04:00,2.81,,2.89
01/04/1990,Mar,04:00,2.89,,3.66
01/03/1990,Feb,04:00,3.66,,3.3
01/02/1990,Jan,04:00,3.3,,1.44
01/01/1990,Dec,04:00,1.44,,1.78
01/12/1989,Nov,04:00,1.78,,1.6
01/11/1989,Oct,04:00,1.6,,1.39
01/10/1989,Sep,04:00,1.39,,1.38
01/09/1989,Aug,04:00,1.38,,1.54
01/08/1989,Jul,04:00,1.54,,1.37
01/07/1989,Jun,04:00,1.37,,1.75
01/06/1989,May,04:00,1.75,,2.53
01/05/1989,Apr,04:00,2.53,,2.48
01/04/1989,Mar,04:00,2.48,,3.32
01/03/1989,Feb,04:00,3.32,,2.83
01/02/1989,Jan,04:00,2.83,,2.23
01/01/1989,Dec,04:00,2.23,,1.39
01/12/1988,Nov,04:00,1.39,,1.56
01/11/1988,Oct,04:00,1.56,,0.71
01/10/1988,Sep,04:00,0.71,,-0.18
01/09/1988,Aug,04:00,-0.18,,1.45
01/08/1988,Jul,04:00,1.45,,2.4
01/07/1988,Jun,04:00,2.4,,1.73
01/06/1988,May,04:00,1.73,,3.91
01/05/1988,Apr,04:00,3.91,,2.89
01/04/1988,Mar,04:00,2.89,,4.03
01/03/1988,Feb,04:00,4.03,,3.0
01/02/1988,Jan,04:00,3.0,,1.87
01/01/1988,Dec,04:00,1.87,,2.11
01/12/1987,Nov,04:00,2.11,,1.88
01/11/1987,Oct,04:00,1.88,,1.22
01/10/1987,Sep,04:00,1.22,,0.29
01/09/1987,Aug,04:00,0.29,,1.46
01/08/1987,Jul,04:00,1.46,,0.96
01/07/1987,Jun,04:00,0.96,,1.7
01/06/1987,May,04:00,1.7,,2.25
01/05/1987,Apr,04:00,2.25,,2.71
01/04/1987,Mar,04:00,2.71,,2.03
01/03/1987,Feb,04:00,2.03,,3.27
01/02/1987,Jan,04:00,3.27,,2.45
01/01/1987,Dec,04:00,2.45,,2.17
01/12/1986,Nov,04:00,2.17,,2.06
01/11/1986,Oct,04:00,2.06,,1.43
01/10/1986,Sep,04:00,1.43,,1.4
01/09/1986,Aug,04:00,1.4,,-0.01
01/08/1986,Jul,04:00,-0.01,,-0.73
01/07/1986,Jun,04:00,-0.73,,-0.72
01/06/1986,May,04:00,-0.72,,2.73
01/05/1986,Apr,04:00,2.73,,2.21
01/04/1986,Mar,04:00,2.21,,3.15
01/03/1986,Feb,04:00,3.15,,3.15
01/02/1986,Jan,04:00,3.15,,1.26
01/01/1986,Dec,04:00,1.26,,0.99
01/12/1985,Nov,04:00,0.99,,0.87
01/11/1985,Oct,04:00,0.87,,0.89
01/10/1985,Sep,04:00,0.89,,-0.4
01/09/1985,Aug,04:00,-0.4,,-0.58
01/08/1985,Jul,04:00,-0.58,,1.84
01/07/1985,Jun,04:00,1.84,,4.52
01/06/1985,May,04:00,4.52,,2.81
01/05/1985,Apr,04:00,2.81,,3.11
01/04/1985,Mar,04:00,3.11,,3.0
01/03/1985,Feb,04:00,3.0,,2.24
01/02/1985,Jan,04:00,2.24,,2.13
