Date,Close,Open,High,Low,Change%
2013-09-11,6.757,6.757,6.757,6.757,-3.04%
2013-09-10,6.969,6.969,6.969,6.969,-0.03%
2013-09-09,6.971,6.971,6.971,6.971,-0.40%
2013-09-08,6.999,6.999,6.999,6.999,0.00%
2013-09-07,6.999,6.999,6.999,6.999,0.03%
2013-09-06,6.997,6.997,6.997,6.997,-0.01%
2013-09-05,6.998,6.998,6.998,6.998,0.86%
2013-09-04,6.938,6.938,6.938,6.938,0.49%
2013-09-03,6.904,6.904,6.904,6.904,0.04%
2013-09-02,6.901,6.901,6.901,6.901,0.31%
2013-09-01,6.88,6.88,6.88,6.88,0.00%
2013-08-31,6.88,6.88,6.88,6.88,0.76%
2013-08-30,6.828,6.828,6.828,6.828,-1.14%
2013-08-29,6.907,6.907,6.907,6.907,-0.03%
2013-08-28,6.909,6.909,6.909,6.909,3.15%
2013-08-27,6.698,6.698,6.698,6.698,-0.03%
2013-08-26,6.7,6.7,6.7,6.7,-1.33%
2013-08-24,6.79,6.79,6.79,6.79,0.58%
2013-08-23,6.751,6.751,6.751,6.751,-0.32%
2013-08-22,6.773,6.773,6.773,6.773,-0.03%
2013-08-21,6.775,6.775,6.775,6.775,1.48%
2013-08-20,6.676,6.676,6.676,6.676,0.69%
2013-08-17,6.63,6.63,6.63,6.63,-0.14%
2013-08-16,6.639,6.639,6.639,6.639,0.41%
2013-08-15,6.612,6.612,6.612,6.612,-0.24%
2013-08-14,6.628,6.628,6.628,6.628,2.41%
2013-08-13,6.472,6.472,6.472,6.472,-1.12%
2013-08-12,6.545,6.545,6.545,6.545,-0.08%
2013-08-11,6.55,6.55,6.55,6.55,0.00%
2013-08-10,6.55,6.55,6.55,6.55,-0.67%
2013-08-09,6.594,6.594,6.594,6.594,-0.02%
2013-08-08,6.595,6.595,6.595,6.595,1.17%
2013-08-06,6.519,6.519,6.519,6.519,-0.31%
2013-08-05,6.539,6.539,6.539,6.539,-0.40%
2013-08-03,6.565,6.565,6.565,6.565,0.35%
2013-08-02,6.542,6.542,6.542,6.542,0.03%
2013-08-01,6.54,6.54,6.54,6.54,-0.52%
2013-07-31,6.574,6.574,6.574,6.574,0.06%
2013-07-30,6.57,6.57,6.57,6.57,-0.36%
2013-07-29,6.594,6.594,6.594,6.594,-0.09%
2013-07-27,6.6,6.6,6.6,6.6,0.70%
2013-07-26,6.554,6.554,6.554,6.554,2.09%
2013-07-25,6.42,6.42,6.42,6.42,-1.23%
2013-07-24,6.5,6.5,6.5,6.5,2.88%
2013-07-23,6.318,6.318,6.318,6.318,-0.60%
2013-07-22,6.356,6.356,6.356,6.356,-0.44%
2013-07-20,6.384,6.384,6.384,6.384,0.35%
2013-07-19,6.362,6.362,6.362,6.362,-0.03%
2013-07-18,6.364,6.364,6.364,6.364,1.29%
2013-07-17,6.283,6.283,6.283,6.283,-1.32%
2013-07-16,6.367,6.367,6.367,6.367,1.34%
2013-07-15,6.283,6.283,6.283,6.283,-0.08%
2013-07-13,6.288,6.288,6.288,6.288,-1.35%
2013-07-12,6.374,6.374,6.374,6.374,0.38%
2013-07-11,6.35,6.35,6.35,6.35,-0.44%
2013-07-10,6.378,6.378,6.378,6.378,-0.65%
2013-07-09,6.42,6.42,6.42,6.42,0.61%
2013-07-08,6.381,6.381,6.381,6.381,-1.30%
2013-07-06,6.465,6.465,6.465,6.465,0.34%
2013-07-05,6.443,6.443,6.443,6.443,0.85%
2013-07-04,6.389,6.389,6.389,6.389,-1.95%
2013-07-03,6.516,6.516,6.516,6.516,1.88%
2013-07-02,6.396,6.396,6.396,6.396,11.56%
2013-06-29,5.733,5.733,5.733,5.733,-10.41%
2013-06-28,6.399,6.399,6.399,6.399,-4.68%
2013-06-27,6.713,6.713,6.713,6.713,-1.99%
2013-06-26,6.849,6.849,6.849,6.849,-2.64%
2013-06-25,7.035,7.035,7.035,7.035,4.05%
2013-06-24,6.761,6.761,6.761,6.761,5.16%
2013-06-23,6.429,6.429,6.429,6.429,0.00%
2013-06-22,6.429,6.429,6.429,6.429,-0.02%
2013-06-21,6.43,6.43,6.43,6.43,-0.14%
2013-06-20,6.439,6.439,6.439,6.439,4.44%
2013-06-19,6.165,6.165,6.165,6.165,0.90%
2013-06-18,6.11,6.11,6.11,6.11,0.68%
2013-06-17,6.069,6.069,6.069,6.069,-2.11%
2013-06-16,6.2,6.2,6.2,6.2,0.00%
2013-06-15,6.2,6.2,6.2,6.2,1.32%
2013-06-14,6.119,6.119,6.119,6.119,-0.86%
2013-06-13,6.172,6.172,6.172,6.172,-2.05%
2013-06-12,6.301,6.301,6.301,6.301,4.77%
2013-06-11,6.014,6.014,6.014,6.014,-0.51%
2013-06-08,6.045,6.045,6.045,6.045,0.35%
2013-06-07,6.024,6.024,6.024,6.024,0.17%
2013-06-06,6.014,6.014,6.014,6.014,6.74%
2013-06-05,5.634,5.634,5.634,5.634,5.88%
2013-06-04,5.321,5.321,5.321,5.321,1.62%
2013-05-31,5.236,5.236,5.236,5.236,1.00%
2013-05-30,5.184,5.184,5.184,5.184,2.73%
2013-05-29,5.046,5.046,5.046,5.046,0.04%
2013-05-28,5.044,5.044,5.044,5.044,0.96%
2013-05-27,4.996,4.996,4.996,4.996,0.62%
2013-05-24,4.965,4.965,4.965,4.965,1.62%
2013-05-23,4.886,4.886,4.886,4.886,-0.27%
2013-05-22,4.899,4.899,4.899,4.899,-0.81%
2013-05-21,4.939,4.939,4.939,4.939,-1.81%
2013-05-20,5.03,5.03,5.03,5.03,4.99%
2013-05-17,4.791,4.791,4.791,4.791,0.15%
2013-05-16,4.784,4.784,4.784,4.784,-0.17%
2013-05-15,4.792,4.792,4.792,4.792,0.21%
2013-05-14,4.782,4.782,4.782,4.782,0.21%
2013-05-10,4.772,4.772,4.772,4.772,0.78%
2013-05-09,4.735,4.735,4.735,4.735,0.79%
2013-05-08,4.698,4.698,4.698,4.698,-1.09%
2013-05-07,4.75,4.75,4.75,4.75,2.46%
2013-05-06,4.636,4.636,4.636,4.636,0.67%
2013-05-03,4.605,4.605,4.605,4.605,0.79%
2013-05-02,4.569,4.569,4.569,4.569,0.51%
2013-04-30,4.546,4.546,4.546,4.546,-1.81%
2013-04-29,4.63,4.63,4.63,4.63,1.25%
2013-04-26,4.573,4.573,4.573,4.573,0.86%
2013-04-25,4.534,4.534,4.534,4.534,-0.40%
2013-04-24,4.552,4.552,4.552,4.552,0.26%
2013-04-23,4.54,4.54,4.54,4.54,-0.55%
2013-04-22,4.565,4.565,4.565,4.565,-0.65%
2013-04-19,4.595,4.595,4.595,4.595,0.48%
2013-04-18,4.573,4.573,4.573,4.573,-1.00%
2013-04-17,4.619,4.619,4.619,4.619,-0.17%
2013-04-16,4.627,4.627,4.627,4.627,-0.69%
2013-04-15,4.659,4.659,4.659,4.659,0.41%
2013-04-12,4.64,4.64,4.64,4.64,0.52%
2013-04-11,4.616,4.616,4.616,4.616,-1.37%
2013-04-10,4.68,4.68,4.68,4.68,0.19%
2013-04-09,4.671,4.671,4.671,4.671,0.28%
2013-04-08,4.658,4.658,4.658,4.658,-0.64%
2013-04-05,4.688,4.688,4.688,4.688,-0.74%
2013-04-04,4.723,4.723,4.723,4.723,1.85%
2013-04-03,4.637,4.637,4.637,4.637,0.69%
2013-04-02,4.605,4.605,4.605,4.605,-1.71%
2013-04-01,4.685,4.685,4.685,4.685,4.44%
2013-03-27,4.486,4.486,4.486,4.486,-1.56%
2013-03-26,4.557,4.557,4.557,4.557,-0.87%
2013-03-22,4.597,4.597,4.597,4.597,-0.20%
2013-03-21,4.606,4.606,4.606,4.606,0.24%
2013-03-20,4.595,4.595,4.595,4.595,0.75%
2013-03-19,4.561,4.561,4.561,4.561,1.04%
2013-03-18,4.514,4.514,4.514,4.514,-0.13%
2013-03-15,4.52,4.52,4.52,4.52,-1.31%
2013-03-14,4.58,4.58,4.58,4.58,0.46%
2013-03-13,4.559,4.559,4.559,4.559,0.97%
2013-03-12,4.515,4.515,4.515,4.515,0.31%
2013-03-11,4.501,4.501,4.501,4.501,0.45%
2013-03-08,4.481,4.481,4.481,4.481,1.82%
2013-03-07,4.401,4.401,4.401,4.401,-2.22%
2013-03-06,4.501,4.501,4.501,4.501,-0.40%
2013-03-05,4.519,4.519,4.519,4.519,-0.42%
2013-03-04,4.538,4.538,4.538,4.538,0.18%
2013-03-01,4.53,4.53,4.53,4.53,-0.42%
2013-02-28,4.549,4.549,4.549,4.549,-0.13%
2013-02-27,4.555,4.555,4.555,4.555,-0.31%
2013-02-26,4.569,4.569,4.569,4.569,0.62%
2013-02-25,4.541,4.541,4.541,4.541,0.73%
2013-02-22,4.508,4.508,4.508,4.508,-1.12%
2013-02-21,4.559,4.559,4.559,4.559,-0.68%
2013-02-20,4.59,4.59,4.59,4.59,-0.02%
2013-02-19,4.591,4.591,4.591,4.591,0.42%
2013-02-18,4.572,4.572,4.572,4.572,-0.07%
2013-02-15,4.575,4.575,4.575,4.575,-0.76%
2013-02-14,4.61,4.61,4.61,4.61,-0.11%
2013-02-13,4.615,4.615,4.615,4.615,-0.60%
2013-02-12,4.643,4.643,4.643,4.643,-0.60%
2013-02-11,4.671,4.671,4.671,4.671,1.08%
2013-02-08,4.621,4.621,4.621,4.621,0.02%
2013-02-07,4.62,4.62,4.62,4.62,-1.20%
2013-02-06,4.676,4.676,4.676,4.676,-2.48%
2013-02-05,4.795,4.795,4.795,4.795,-0.12%
2013-02-04,4.801,4.801,4.801,4.801,0.10%
2013-02-01,4.796,4.796,4.796,4.796,0.10%
2013-01-31,4.791,4.791,4.791,4.791,-0.99%
2013-01-30,4.839,4.839,4.839,4.839,0.54%
2013-01-29,4.813,4.813,4.813,4.813,-0.54%
2013-01-28,4.839,4.839,4.839,4.839,1.53%
