Date,Close,Open,High,Low,Volume,Change%
2003-10-09,8.2771,8.2771,8.2771,8.2771,,0.00%
2003-10-08,8.2771,8.2771,8.2771,8.2771,,0.00%
2003-10-07,8.277,8.277,8.277,8.277,,0.00%
2003-10-06,8.277,8.277,8.277,8.277,,0.00%
2003-10-03,8.277,8.277,8.277,8.277,,0.00%
2003-10-02,8.277,8.277,8.277,8.277,,0.00%
2003-10-01,8.277,8.277,8.277,8.277,,0.00%
2003-09-30,8.277,8.2771,8.2773,8.2771,,0.00%
2003-09-29,8.277,8.277,8.277,8.277,,0.00%
2003-09-26,8.2773,8.2773,8.2773,8.2773,,0.00%
2003-09-25,8.277,8.2773,8.2773,8.2771,,0.00%
2003-09-24,8.277,8.277,8.277,8.277,,0.00%
2003-09-23,8.2772,8.2774,8.2774,8.2773,,0.00%
2003-09-22,8.2773,8.2773,8.2773,8.2773,,0.00%
2003-09-19,8.2773,8.2773,8.2773,8.2773,,0.00%
2003-09-18,8.2775,8.2775,8.2775,8.2775,,0.00%
2003-09-17,8.2775,8.2775,8.2775,8.2775,,0.00%
2003-09-16,8.2774,8.2774,8.2774,8.2774,,0.00%
2003-09-15,8.2774,8.2774,8.2774,8.2774,,0.00%
2003-09-12,8.2772,8.2772,8.2772,8.2772,,0.00%
2003-09-11,8.2772,8.2772,8.2772,8.2772,,0.00%
2003-09-10,8.277,8.277,8.277,8.277,,0.00%
2003-09-09,8.277,8.277,8.277,8.277,,0.00%
2003-09-08,8.277,8.277,8.277,8.277,,0.00%
2003-09-05,8.277,8.277,8.277,8.277,,0.00%
2003-09-04,8.277,8.277,8.277,8.277,,0.00%
2003-09-03,8.2768,8.2768,8.2768,8.2768,,0.00%
2003-09-02,8.277,8.2772,8.2772,8.2771,,0.00%
2003-09-01,8.277,8.277,8.277,8.277,,0.00%
2003-08-29,8.2771,8.2772,8.2773,8.2771,,0.00%
2003-08-28,8.2771,8.2771,8.2772,8.2771,,0.00%
2003-08-27,8.277,8.277,8.277,8.277,,0.00%
2003-08-26,8.2768,8.2768,8.2768,8.2768,,0.00%
2003-08-25,8.2768,8.2768,8.2768,8.2768,,0.00%
2003-08-22,8.2766,8.2766,8.2766,8.2766,,0.00%
2003-08-21,8.2766,8.2766,8.2766,8.2766,,0.00%
2003-08-20,8.2768,8.2768,8.2768,8.2768,,0.00%
2003-08-19,8.2767,8.2767,8.2767,8.2767,,0.00%
2003-08-18,8.2768,8.2768,8.2768,8.2768,,0.00%
2003-08-15,8.2768,8.2768,8.2768,8.2768,,0.00%
2003-08-14,8.277,8.277,8.277,8.277,,0.00%
2003-08-13,8.277,8.2771,8.2773,8.2771,,0.00%
2003-08-12,8.277,8.277,8.277,8.277,,0.00%
2003-08-11,8.2772,8.2772,8.2772,8.2772,,0.00%
2003-08-08,8.2772,8.2772,8.2772,8.2772,,0.00%
2003-08-07,8.2773,8.2774,8.2776,8.2772,,0.00%
2003-08-06,8.2773,8.2773,8.2773,8.2773,,0.00%
2003-08-05,8.2775,8.2775,8.2775,8.2775,,0.00%
2003-08-04,8.2775,8.2775,8.2775,8.2775,,0.00%
2003-08-01,8.2772,8.2772,8.2772,8.2772,,0.00%
2003-07-31,8.2773,8.2773,8.2775,8.2773,,0.00%
2003-07-30,8.2773,8.2773,8.2773,8.2773,,0.00%
2003-07-29,8.2775,8.2776,8.2776,8.2775,,0.00%
2003-07-28,8.2775,8.2775,8.2775,8.2775,,0.00%
2003-07-25,8.2775,8.2775,8.2776,8.2773,,0.00%
2003-07-24,8.2772,8.2772,8.2772,8.2772,,0.00%
