Date,Close,Open,High,Low,Volume,Change%
2020-07-30,538.57,541.17,543.94,537.29,,-0.47%
2020-07-29,541.09,539.49,541.72,537.48,,0.35%
2020-07-28,539.2,536.14,543.46,536.12,,0.65%
2020-07-27,535.73,529.68,536.3,529.68,,1.13%
2020-07-26,529.73,529.68,529.77,529.68,,0.01%
2020-07-24,529.67,529.19,530.11,528.51,,-1.65%
2020-07-23,538.56,538.27,541.03,536.51,,0.01%
2020-07-22,538.51,543.57,545.65,537.3,,-0.75%
2020-07-21,542.59,532.95,544.3,532.91,,1.93%
2020-07-20,532.3,527.07,532.9,525.06,,0.99%
2020-07-19,527.09,527.07,527.09,527.06,,0.02%
2020-07-17,526.96,522.64,527.17,522.64,,0.84%
2020-07-16,522.58,532.08,532.13,522.11,,-1.85%
2020-07-15,532.41,530.7,534.2,529.69,,0.54%
2020-07-14,529.56,535.66,535.67,526.34,,-1.22%
2020-07-13,536.09,535.89,541.32,535.34,,0.04%
2020-07-12,535.87,535.89,535.89,535.86,,0.02%
2020-07-10,535.77,540.79,541.02,534.01,,-0.94%
2020-07-09,540.86,536.79,543.71,536.6,,0.92%
2020-07-08,535.93,525.91,536.67,525.55,,1.85%
2020-07-07,526.17,529.27,532.78,525.56,,-0.65%
2020-07-06,529.63,515.94,530.0,515.94,,2.64%
2020-07-05,515.99,515.94,516.02,515.94,,0.07%
2020-07-03,515.65,510.97,516.28,510.79,,0.98%
2020-07-02,510.65,499.83,511.97,499.52,,2.28%
2020-07-01,499.27,496.31,500.03,496.21,,0.71%
2020-06-30,495.74,495.89,498.89,495.73,,0.09%
2020-06-29,495.3,496.86,496.9,492.74,,-0.31%
2020-06-28,496.86,496.88,496.89,496.86,,0.02%
2020-06-26,496.78,501.37,501.6,496.29,,-0.84%
2020-06-25,500.98,501.96,502.02,499.68,,-0.35%
2020-06-24,502.72,506.61,508.44,500.96,,-0.72%
2020-06-23,506.35,499.29,507.16,497.25,,1.47%
2020-06-22,499.02,498.83,500.24,498.14,,0.04%
2020-06-19,498.81,495.46,500.04,495.11,,0.60%
2020-06-18,495.84,495.99,497.58,494.11,,0.00%
2020-06-17,495.82,492.78,496.52,491.43,,0.57%
2020-06-16,493.0,485.11,496.06,485.11,,1.94%
2020-06-15,483.62,491.78,491.82,481.14,,-1.64%
2020-06-12,491.67,492.62,493.43,487.53,,-0.38%
2020-06-11,493.55,503.3,504.53,492.25,,-1.93%
2020-06-10,503.28,502.4,505.45,502.3,,0.18%
2020-06-09,502.38,503.36,505.87,500.7,,0.15%
2020-06-08,501.62,499.41,503.04,499.34,,0.58%
2020-06-05,498.74,492.4,500.24,490.86,,1.30%
2020-06-04,492.36,491.59,493.59,490.88,,0.13%
2020-06-03,491.74,483.23,491.92,483.22,,1.85%
2020-06-02,482.8,474.25,483.1,474.24,,1.84%
2020-06-01,474.09,464.93,474.45,464.85,,2.20%
2020-05-29,463.9,460.87,464.78,458.94,,0.66%
2020-05-28,460.87,462.45,463.43,459.58,,-0.23%
2020-05-27,461.91,461.59,462.33,459.34,,0.11%
2020-05-26,461.42,454.59,463.29,454.46,,1.57%
2020-05-25,454.28,451.14,454.48,449.17,,0.74%
2020-05-22,450.93,463.8,463.92,450.35,,-2.70%
2020-05-21,463.46,464.45,465.17,462.13,,-0.14%
2020-05-20,464.1,460.12,465.85,460.11,,0.79%
2020-05-19,460.44,455.74,462.12,455.7,,1.13%
2020-05-18,455.29,448.73,455.77,447.34,,1.37%
2020-05-15,449.12,449.75,451.02,448.02,,0.08%
2020-05-14,448.75,452.53,453.14,444.59,,-0.81%
2020-05-13,452.42,452.34,455.11,451.15,,-0.14%
2020-05-12,453.04,455.92,456.1,452.3,,-0.69%
2020-05-11,456.19,453.49,457.84,453.48,,0.61%
2020-05-08,453.44,446.52,454.02,446.45,,1.69%
2020-05-07,445.89,445.99,447.19,445.45,,-0.19%
2020-05-06,446.73,446.52,449.33,445.83,,0.00%
2020-05-05,446.74,442.95,448.43,442.95,,1.04%
2020-05-04,442.13,455.07,455.07,441.54,,-3.05%
2020-05-01,456.05,459.44,459.48,454.85,,-0.95%
2020-04-30,460.41,458.45,463.98,458.31,,0.68%
2020-04-29,457.31,449.48,458.57,449.43,,1.97%
2020-04-28,448.47,444.98,450.1,443.58,,0.85%
2020-04-27,444.67,437.86,444.98,437.8,,1.69%
