Release Date,Time,Actual,Forecast,Previous
"Feb 01, 2006 (Jan)",04:00,6.00%, ,6.00%
"Jan 01, 2006 (Dec)",04:00,6.00%, ,6.00%
"Dec 01, 2005 (Nov)",04:00,6.00%, ,6.00%
"Nov 01, 2005 (Oct)",04:00,6.00%, ,6.00%
"Oct 01, 2005 (Sep)",04:00,6.00%, ,6.50%
"Sep 01, 2005 (Aug)",04:00,6.50%, ,6.50%
"Aug 01, 2005 (Jul)",04:00,6.50%, ,6.50%
"Jul 01, 2005 (Jun)",04:00,6.50%, ,6.50%
"Jun 01, 2005 (May)",04:00,6.50%, ,6.50%
"May 01, 2005 (Apr)",04:00,6.50%, ,6.50%
"Apr 01, 2005 (Mar)",04:00,6.50%, ,6.50%
"Mar 01, 2005 (Feb)",04:00,6.50%, ,6.50%
"Feb 01, 2005 (Jan)",04:00,6.50%, ,6.50%
"Jan 01, 2005 (Dec)",04:00,6.50%, ,6.75%
"Dec 01, 2004 (Nov)",04:00,6.75%, ,6.75%
"Nov 01, 2004 (Oct)",04:00,6.75%, ,6.75%
"Oct 01, 2004 (Sep)",04:00,6.75%, ,6.75%
"Sep 01, 2004 (Aug)",04:00,6.75%, ,6.75%
"Aug 01, 2004 (Jul)",04:00,6.75%, ,6.75%
"Jul 01, 2004 (Jun)",04:00,6.75%, ,6.75%
"Jun 01, 2004 (May)",04:00,6.75%, ,6.75%
"May 01, 2004 (Apr)",04:00,6.75%, ,6.75%
"Apr 01, 2004 (Mar)",04:00,6.75%, ,7.00%
"Mar 01, 2004 (Feb)",04:00,7.00%, ,7.25%
"Feb 01, 2004 (Jan)",04:00,7.25%, ,7.25%
"Jan 01, 2004 (Dec)",04:00,7.25%, ,7.25%
"Dec 01, 2003 (Nov)",04:00,7.25%, ,7.25%
"Nov 01, 2003 (Oct)",04:00,7.25%, ,7.25%
"Oct 01, 2003 (Sep)",04:00,7.25%, ,7.25%
"Sep 01, 2003 (Aug)",04:00,7.25%, ,7.25%
"Aug 01, 2003 (Jul)",04:00,7.25%, ,7.25%
"Jul 01, 2003 (Jun)",04:00,7.25%, ,7.25%
"Jun 01, 2003 (May)",04:00,7.25%, ,7.25%
"May 01, 2003 (Apr)",04:00,7.25%, ,6.25%
"Apr 01, 2003 (Mar)",04:00,6.25%, ,6.25%
"Mar 01, 2003 (Feb)",04:00,6.25%, ,6.25%
"Feb 01, 2003 (Jan)",04:00,6.25%, ,5.25%
"Jan 01, 2003 (Dec)",04:00,5.25%, ,5.25%
"Dec 01, 2002 (Nov)",04:00,5.25%, ,5.25%
"Nov 01, 2002 (Oct)",04:00,5.25%, ,5.25%
"Oct 01, 2002 (Sep)",04:00,5.25%, ,5.25%
"Sep 01, 2002 (Aug)",04:00,5.25%, ,5.25%
"Aug 01, 2002 (Jul)",04:00,5.25%, ,5.25%
"Jul 01, 2002 (Jun)",04:00,5.25%, ,5.75%
"Jun 01, 2002 (May)",04:00,5.75%, ,6.25%
"May 01, 2002 (Apr)",04:00,6.25%, ,7.25%
"Apr 01, 2002 (Mar)",04:00,7.25%, ,8.00%
"Mar 01, 2002 (Feb)",04:00,8.00%, ,8.00%
"Feb 01, 2002 (Jan)",04:00,8.00%, ,8.50%
"Jan 01, 2002 (Dec)",04:00,8.50%, ,8.75%
"Dec 01, 2001 (Nov)",04:00,8.75%, ,9.25%
"Nov 01, 2001 (Oct)",04:00,9.25%, ,9.50%
"Oct 01, 2001 (Sep)",04:00,9.50%, ,10.00%
"Sep 01, 2001 (Aug)",04:00,10.00%, ,11.00%
"Aug 01, 2001 (Jul)",04:00,11.00%, ,11.50%
"Jul 01, 2001 (Jun)",04:00,11.50%, ,11.50%
"Jun 01, 2001 (May)",04:00,11.50%, ,11.50%
"May 01, 2001 (Apr)",04:00,11.50%, ,11.50%
"Apr 01, 2001 (Mar)",04:00,11.50%, ,12.00%
"Mar 01, 2001 (Feb)",04:00,12.00%, ,12.00%
"Feb 01, 2001 (Jan)",04:00,12.00%, ,12.00%
"Jan 01, 2001 (Dec)",04:00,12.00%, ,12.00%
"Dec 01, 2000 (Nov)",04:00,12.00%, ,12.00%
